# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use a semi-colon ';' or a comma "";"" to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,"# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: ""Valid while supplies last. Terms and conditions apply.""","# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: ""https://example.com/terms-and-conditions""",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item’s Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you’re sure it’s correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].tag[0],gtin,product_tags[1],style[0]
1263,0.30 – Fancy Green VS 18K Ring : 5.183 gram YD : 21 / 0.06 PINK : 27 / 0.10 WD : 79 / 0.325,"https://colourdiam.com/Product/Jewellery/Model%20images/1263/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1263/colour-diam-model-images-20.jpeg",in stock,new,68085.41 THB,https://colourdiam.com/productdetail/1263,https://www.colourdiam.com/Product/Jewellery/1263/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
1328,0.60 – Fancy Light Green  18K Ring : 6.40 gram TRILLION : 02 / 0.113 PEAR : 32 / 0.182 WD : 66 / 0.27,https://colourdiam.com/Product/Jewellery/Model%20images/1328/center.jpeg,in stock,new,453902.7 THB,https://colourdiam.com/productdetail/1328,https://www.colourdiam.com/Product/Jewellery/1328/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1333_6674_6673,0.91 ct Fancy Intense Yellow SI1 0.32 ct F VS2 0.31 ct D VVS2  18K Ring : 3.98 gram Heart : 02 / 0.63,"0.91 ct Fancy Intense Yellow SI1
0.32 ct F VS2
0.31 ct D VVS2 
18K Ring : 3.98 gram
Heart : 02 / 0.63",in stock,new,586290.99 THB,https://colourdiam.com/productdetail/Menu/1333/6674/6673,https://www.colourdiam.com/Product/Jewellery/1333_6674_6673/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1477,1.52 cts Fancy Greenish Yellow SI2                               18K Ring : 7.57 gram PEAR : 12 / 1.065 WD : 49 / 0.309 MQ : 10 / 0.678 PINK : 20 / 0.116,"1.52 cts Fancy Greenish Yellow SI2                              
18K Ring : 7.57 gram
PEAR : 12 / 1.065
WD : 49 / 0.309
MQ : 10 / 0.678
PINK : 20 / 0.116",in stock,new,378252.25 THB,,https://www.colourdiam.com/Product/Jewellery/1477/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1481,0.36 cts Fancy Light Pink VS1  De beers brand ring                             18K Ring : 2.718 gram PINK : 54 / 0.60,"https://colourdiam.com/Product/Jewellery/Model%20images/1481/2E928398-3341-4441-BA7D-66FCE5C5C04E.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/7C2A590F-A895-4C54-A082-F6FE5EFA46D6.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/colour-diam-model-images-25.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/colour-diam-model-images-26.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/colour-diam-model-images-27.jpeg",in stock,new,945630.63 THB,https://colourdiam.com/productdetail/1481,https://www.colourdiam.com/Product/Jewellery/1481/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1779,0.92 cts Fancy Yellow VS 18K Ring : 3.235 gram WD : 122 / 0.295 YD : 16 / 0.16,"0.92 cts Fancy Yellow VS
18K Ring : 3.235 gram
WD : 122 / 0.295
YD : 16 / 0.16",in stock,new,83215.5 THB,,https://www.colourdiam.com/Product/Jewellery/1779/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
1850,0.70 cts Fancy Brownish Yellow SI1 18K Ring : 3.48 gram WD : 52 / 0.288,"0.70 cts Fancy Brownish Yellow SI1
18K Ring : 3.48 gram
WD : 52 / 0.288",in stock,new,56737.84 THB,https://colourdiam.com/productdetail/1850,https://www.colourdiam.com/Product/Jewellery/1850/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1873,0.57 cts Fancy Light Brownish Yellow  SI2  Main stone – 1 pcs 0.57 cts  18k Ring : 5.82 gram  WD : 86 / 0.48   YELLOW : 28 / 0.177,"0.57 cts Fancy Light Brownish Yellow  SI2 
Main stone – 1 pcs 0.57 cts 
18k Ring : 5.82 gram 
WD : 86 / 0.48 
 YELLOW : 28 / 0.177",in stock,new,132388.29 THB,https://colourdiam.com/productdetail/1873,https://www.colourdiam.com/Product/Jewellery/1873/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1913,0.70 cts Fancy Light Yellow VS1 18K Ring : 3.95 gram WD : 34 / 0.343 YD : 16 / 0.12,"0.70 cts Fancy Light Yellow VS1
18K Ring : 3.95 gram
WD : 34 / 0.343
YD : 16 / 0.12",in stock,new,94563.06 THB,,https://www.colourdiam.com/Product/Jewellery/1913/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1996_6379,0.54 W-X SI1/ 0.42 Faint Pink Ring SI2  18k : 4.87 gram  PINK : 55 / 0.268  WD : 64 / 0.105,"https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/UN-0638_1.jpg",in stock,new,189126.13 THB,https://colourdiam.com/productdetail/Menu/1996/6379,https://www.colourdiam.com/Product/Jewellery/1996_6379/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2048,0.99 cts Fancy Light Yellow VVS1 Main stone detail –  01 pcs – 0.99 cts 18k Ring: 3.047 gram  WD : 28 / 0.49,"0.99 cts Fancy Light Yellow VVS1
Main stone detail –  01 pcs – 0.99 cts
18k Ring: 3.047 gram 
WD : 28 / 0.49",in stock,new,121040.72 THB,,https://www.colourdiam.com/Product/Jewellery/2048/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
2150,0.80 Fancy Light Yellow SI2  18K Ring : 7.82 gram WD : 236 / 1.41 YD : 34 / 0.128,"0.80 Fancy Light Yellow SI2 
18K Ring : 7.82 gram
WD : 236 / 1.41
YD : 34 / 0.128",in stock,new,143735.86 THB,https://colourdiam.com/productdetail/2150,https://www.colourdiam.com/Product/Jewellery/2150/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2240,0.64 cts Fancy Pink  18K Ring : 2.82 gram WD : 14 / 0.078 PEAR : 02 / 0.164,"https://colourdiam.com/Product/Jewellery/Model%20images/2240/3CB6BC1C-52C9-4915-A39A-5306386DB9A7.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/9701C417-5D54-4533-9B9C-63043177A44B%20%281%29.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/9701C417-5D54-4533-9B9C-63043177A44B.JPEG
https://colourdiam.com/Product/Jewellery/Model%20images/2240/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/colour-diam-model-images-50.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/colour-diam-model-images-51.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/colour-diam-model-images-52.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/colour-diam-model-images-53.jpeg",in stock,new,624116.21 THB,https://colourdiam.com/productdetail/2240,https://www.colourdiam.com/Product/Jewellery/2240/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2253,0.64 cts Fancy Light Yellow - Green VS2 18K Ring : 3.99 gram WD : 140 / 0.227 PINK : 20 / 0.088,"0.64 cts Fancy Light Yellow - Green VS2
18K Ring : 3.99 gram
WD : 140 / 0.227
PINK : 20 / 0.088",in stock,new,145627.12 THB,,https://www.colourdiam.com/Product/Jewellery/2253/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2281,0.70 cts Light Green I1 18K Ring : 5.71 gram WD : 128 / 0.515 PINK : 20 / 0.075 MQ : 10 / 0.535,"0.70 cts Light Green I1
18K Ring : 5.71 gram
WD : 128 / 0.515
PINK : 20 / 0.075
MQ : 10 / 0.535",in stock,new,170213.51 THB,https://colourdiam.com/productdetail/2281,https://www.colourdiam.com/Product/Jewellery/2281/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2354,0.41 ct Fancy Light Purplish Pink Ring SI2 18 k : 5.03 gram  PINK : 18 / 0.057  MQ : 12 / 0.385 WD : 134 / 0.464,"0.41 ct Fancy Light Purplish Pink Ring SI2
18 k : 5.03 gram 
PINK : 18 / 0.057 
MQ : 12 / 0.385
WD : 134 / 0.464",in stock,new,378252.25 THB,,https://www.colourdiam.com/Product/Jewellery/2354/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2376,0.83 cts Fancy Light Pinkish Brown Ring VS1 18 k : 5.13 gram  MQ : 12 / 0.491  PINK : 20 / 0.071 WD : 120 / 0.418,"0.83 cts Fancy Light Pinkish Brown Ring VS1
18 k : 5.13 gram 
MQ : 12 / 0.491 
PINK : 20 / 0.071
WD : 120 / 0.418",in stock,new,283689.19 THB,https://colourdiam.com/productdetail/2376,https://www.colourdiam.com/Product/Jewellery/2376/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2379,0.353 cts Fancy Light Pink VS Main stone – 1 pcs 0.353 cts 18k Ring : 3.540 gram  WD : 38 / 0.271 PINK : 16 / 0.067,"0.353 cts Fancy Light Pink VS
Main stone – 1 pcs 0.353 cts
18k Ring : 3.540 gram 
WD : 38 / 0.271
PINK : 16 / 0.067",in stock,new,132388.29 THB,,https://www.colourdiam.com/Product/Jewellery/2379/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
2391_7808,0.59 cts fancy light yellow vvs1  0.56 CTS G Colour VS1 18K ring : 5.61 gram WD : 26 / 0.29,"0.59 cts fancy light yellow vvs1 
0.56 CTS G Colour VS1
18K ring : 5.61 gram
WD : 26 / 0.29",in stock,new,132388.29 THB,https://colourdiam.com/productdetail/Menu/2391/7808,https://www.colourdiam.com/Product/Jewellery/2391_7808/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2518,1.01 cts Light Pink Ring 18 k : 4.20 gram  WD : 44 / 0.201  PEAR : 8 / 0.452 MQ : 8 / 0.328,"1.01 cts Light Pink Ring
18 k : 4.20 gram 
WD : 44 / 0.201 
PEAR : 8 / 0.452
MQ : 8 / 0.328",in stock,new,245863.96 THB,,https://www.colourdiam.com/Product/Jewellery/2518/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
2553,2.04 ct Very Light Pink Ring SI1 18 k : 7.26 gram  PEAR : 6 / 0.252 MQ : 12 / 0.63 PINK : 25 / 0.14  WD : 69 / 0.235,"2.04 ct Very Light Pink Ring SI1
18 k : 7.26 gram 
PEAR : 6 / 0.252
MQ : 12 / 0.63
PINK : 25 / 0.14 
WD : 69 / 0.235",in stock,new,832154.95 THB,,https://www.colourdiam.com/Product/Jewellery/2553/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,CGL,Fine Jewelry
2556,1.46 CT Fancy Orangy Pink 18 k Ring : 6.70 gram WD : 106 / 1.367,"https://colourdiam.com/Product/Jewellery/Model%20images/2556/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2556/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2556/3.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2556/4.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2556/5.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2556/center.jpeg",in stock,new,1134756.75 THB,https://colourdiam.com/productdetail/2556,https://www.colourdiam.com/Product/Jewellery/2556/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
