id,title,description,link,image_link,price,availability,item_group_id,product_type,google_product_category,additional_image_link,sale_price,average_review_rating,number_of_ratings,number_of_reviews,description_html,video_link,brand,GTIN,mpn,color,gender,age_group,material,pattern,size,size_type,size_system,alt_text,variant_names,variant_values,adult,tax,shipping,shipping_weight,shipping_width,shipping_height,free_shipping_label,free_shipping_limit,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,ad_link,condition
1003,1.05ct Fancy Yellow GIA Certified 18k Gold Ring,"Exude warmth with this 1.05 carat natural fancy yellow SI1 diamond ring in 18k gold, featuring 0.26ct white diamond accents. GIA certified. Free worldwide shipping.",https://colourdiam.com/productdetail/1003,https://www.colourdiam.com/Product/Jewellery/1003/white45/center.jpg,17825.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1003/white45/CENTER.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-10.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1003/white45/video.mp4,Colour Diam,,1003,Fancy Yellow,unisex,adult,,,,,,GIA 1.05 ct Fancy Yellow diamond ring with 40 white diamond accents in 18k gold.,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Yellow,Classic Solitaire with Pavé Accents,Ultra-Luxury,Solaris Yellow Diamond Masterpieces,,new
1135,1.02ct Fancy Intense Yellow GIA 18k Ring,"Exquisite 1.02 carat fancy intense yellow pear diamond ring set in 18k gold, featuring sparkling yellow and white diamond accents. Certified by GIA with free worldwide shipping. Elevate your collection withColourDiam.",https://colourdiam.com/productdetail/1135,https://www.colourdiam.com/Product/Jewellery/1135/white45/center.jpg,5750.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1135/white360/1.jpg,https://colourdiam.com/Product/Jewellery/1135/white360/2.jpg,https://colourdiam.com/Product/Jewellery/1135/white360/3.jpg,https://colourdiam.com/Product/Jewellery/1135/white360/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1135/white360/video.mp4,Colour Diam,,1135,Fancy Intense Yellow,unisex,adult,,,,,,"GIA 1.02 ct Fancy Intense Yellow diamond ring with pear, yellow and white diamond accents.",,,false,,,,,,true,0 USD,Yellow Ring,Fancy Intense Yellow,"Contemporary Heirloom, Radiant Statement Piece, Exceptional Luxury",Ultra-Luxury High Fine Jewelry,Aurelia Sunburst Haute Horlogerie & Fine Jewelry Collection,,new
1263,0.30ct Fancy Green VS 18K Diamond Ring,"Embrace rare luxury with this exquisite 0.30 carat fancy green diamond ring, beautifully complemented by pink, yellow, and white diamond accents in 18K gold. Certified by AGL. Free worldwide shipping included.",https://colourdiam.com/productdetail/1263,https://www.colourdiam.com/Product/Jewellery/1263/white45/center.jpg,2070.00 USD,in stock,,Green Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1263/white45/1263_1.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/1263_2.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/1263_3.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-10.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1263/white45/1263_4.mp4,Colour Diam,,1263,Fancy Green,unisex,adult,,,,,,"AGL 0.30 ct Fancy Green diamond ring with yellow, pink and white diamond accents in 18k gold.",,,false,,,,,,true,0 USD,Green Ring,Fancy Green,Botanical Halo Cocktail Ring,Luxury Investment,Verdant Aura Collection,,new
1328,0.60ct Fancy Light Green 18K Diamond Ring,-carat Natural Diamond Ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1328,https://www.colourdiam.com/Product/Jewellery/1328/white45/center.jpg,13800.00 USD,in stock,,Green Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1328/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/3.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1328/white45/vid.mp4,Colour Diam,,1328,Fancy Colour,unisex,adult,,,,,,-carat Natural Diamond Ring set in 18K | Natural Natural Diamond diamond jewellery — GIA certified | Luxury ring with -carat Natural Diamond center stone,,,false,,,,,,true,0 USD,Green Ring,Fancy Colour,Contemporary Luxury,Luxury ($10K - $50K),The Diamond Majesty Collection,,new
1333_6674_6673,0.91 Ct Fancy Intense Yellow SI1 Diamond Ring,0.91-carat Fancy Intense Yellow Ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/Menu/1333/6674/6673,https://www.colourdiam.com/Product/Jewellery/1333_6674_6673/white45/center.jpg,17825.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_1.jpg,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_3.jpg,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_4.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_2.mp4,Colour Diam,,1333_6674_6673,Fancy Yellow,unisex,adult,,,,,,0.91-carat Fancy Intense Yellow Ring set in 18K | Natural Fancy Intense Yellow diamond jewellery — GIA certified | Luxury ring with 0.91-carat Fancy Intense Yellow center stone,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Yellow,Contemporary Luxury,Luxury ($10K - $50K),The Artisan's Yellow Selection,,new
1477,1.52 Carat Fancy Greenish Yellow Diamond Ring,1.52-carat Fancy Green Ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1477,https://www.colourdiam.com/Product/Jewellery/1477/white45/center.jpg,11500.00 USD,in stock,,Green Ring,Apparel & Accessories > Jewelry,,,,,,,https://www.colourdiam.com/Product/Jewellery/1477/white45/video.mp4,Colour Diam,,1477,Fancy Green,unisex,adult,,,,,,1.52-carat Fancy Green Ring set in 18K | Natural Fancy Green diamond jewellery — GIA certified | Luxury ring with 1.52-carat Fancy Green center stone,,,false,,,,,,true,0 USD,Green Ring,Fancy Green,Avant-Garde,Luxury ($10K - $50K),Heritage Green — A Collector's Series,,new
1481,De Beers 0.36 Carat Fancy Light Pink VS1 Diamond Ring,0.36-carat Natural Diamond ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1481,https://www.colourdiam.com/Product/Jewellery/1481/white45/center.jpg,28750.00 USD,in stock,,Pink Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1481/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/3.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/CENTER.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1481/white45/vid.mp4,Colour Diam,,1481,Fancy Colour,unisex,adult,,,,,,0.36-carat Natural Diamond ring set in 18K | Natural Natural Diamond diamond jewellery — GIA certified | Luxury ring with 0.36-carat Natural Diamond center stone,,,false,,,,,,true,0 USD,Pink Ring,Fancy Colour,Modern Minimalist,Luxury ($10K - $50K),The Artisan's Diamond Selection,,new
1779,0.92 Ct Fancy Yellow VS Diamond Ring | ColourDiam,0.92-carat Fancy Yellow Ring | 18K | AGL Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1779,https://www.colourdiam.com/Product/Jewellery/1779/white45/center.jpg,2530.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1779/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1773_1.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1773_2.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_6.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_7.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_8.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1779/white45/1773.mp4,Colour Diam,,1779,Fancy Yellow,unisex,adult,,,,,,0.92-carat Fancy Yellow Ring set in 18K | Natural Fancy Yellow diamond jewellery — AGL certified | Luxury ring with 0.92-carat Fancy Yellow center stone,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Yellow,Modern Minimalist,Accessible Luxury (Under $5K),Heritage Yellow — A Collector's Series,,new
1850,0.70 Carat Fancy Brownish Yellow SI1 Diamond Yellow Ring,0.70-carat Fancy Brown Ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1850,https://www.colourdiam.com/Product/Jewellery/1850/white45/center.jpg,1725.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1850/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1850/white45/3.jpg,https://colourdiam.com/Product/Jewellery/1850/white45/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1850/white45/vid.mp4,Colour Diam,,1850,Fancy Colour,unisex,adult,,,,,,0.70-carat Fancy Brown Ring set in 18K | Natural Fancy Brown diamond jewellery — GIA certified | Luxury ring with 0.70-carat Fancy Brown center stone,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Colour,Timeless Sophistication,Accessible Luxury (Under $5K),The Brown Majesty Collection,,new
1873,0.57 Ct Fancy Light Brownish Yellow Diamond Ring,0.57-carat Natural Diamond Ring | 18k | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/1873,https://www.colourdiam.com/Product/Jewellery/1873/white45/center.jpg,4025.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/1873/1.jpg,https://colourdiam.com/Product/Jewellery/1873/2.jpg,https://colourdiam.com/Product/Jewellery/1873/3.jpg,https://colourdiam.com/Product/Jewellery/1873/4.jpg,https://colourdiam.com/Product/Jewellery/1873/5.jpg,https://colourdiam.com/Product/Jewellery/1873/CENTER.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/1.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/2.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/3.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/B1873_1.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/B1873_3.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/B1873_4.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/B1873_6.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/B1873_7.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/center.jpg,https://colourdiam.com/Product/Jewellery/1873/black45/1.jpg,https://colourdiam.com/Product/Jewellery/1873/black45/2.jpg,https://colourdiam.com/Product/Jewellery/1873/black45/CENTER.jpg",,,,,,https://colourdiam.com/Product/Jewellery/1873/B1873_2.mp4,Colour Diam,,1873,Fancy Colour,unisex,adult,,,,,,0.57-carat Natural Diamond Ring set in 18k | Natural Natural Diamond diamond jewellery — GIA certified | Luxury ring with 0.57-carat Natural Diamond center stone,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Colour,Classic Elegance,Accessible Luxury (Under $5K),Rare Radiance — Diamond Masterpieces,,new
