Category,Product Name,Product Description,Maximum Purchase Quantity,Maximum Purchase Quantity - Start Date,Maximum Purchase Quantity - Time Period (in Days),Maximum Purchase Quantity - End Date,Minimum Purchase Quantity,Parent SKU,Variation Integration No.,Variation Name1,Option for Variation 1,Image per Variation,Variation Name2,Option for Variation 2,Price,Stock,SKU,Size Chart Template,Size Chart Image,GTIN,Cover image,Item Image 1,Item Image 2,Item Image 3,Item Image 4,Item Image 5,Item Image 6,Item Image 7,Item Image 8,Weight,Length,Width,Height,Standard Delivery - ส่งธรรมดาในประเทศ,Pre-order DTS,Fail Reason
,0.3 Ct Fancy Green VS AGL Ring | Colour Diam,"A distinctive 18k gold ring featuring a 0.30 ct Fancy Green VS diamond, accompanied by AGL report AGL23061119. The center stone is surrounded by 21 yellow diamonds totaling 0.06 ct, 27 pink diamonds totaling 0.10 ct and 79 white diamonds totaling 0.325 ct. Weighing 5.183 grams, the ring combines green, yellow, pink and white tones in a richly detailed setting, creating an expressive choice for collectors of fancy color jewelry.",1,,,,1,1263,,,,,,,2070,1,1263,,,,https://www.colourdiam.com/Product/Jewellery/1263/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/1263_1.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/1263_2.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/1263_3.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/1263/white45/colour-diam-1263-green-ring-0-30-ct-fancy-green-agl-diamond-ring-colour-diam-10.jpg,,,,,,,On,,
,0.6 Ct Fancy Light Green GIA Ring | Colour Diam,"Opulent Ring featuring a  carat Natural Diamond, set in luxurious 18K. a testament to nature's finest artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,1328,,,,,,,13799.999999999998,1,1328,,,,https://www.colourdiam.com/Product/Jewellery/1328/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/3.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/4.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/CENTER.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/colour-diam-1328-green-ring-08.jpg,https://colourdiam.com/Product/Jewellery/1328/white45/colour-diam-1328-green-ring-09.jpg,,,,,,On,,
,0.91 Ct Fancy Intense Yellow SI1 GIA Ring | Colour Diam,"Exceptional Ring featuring a 0.91 carat Fancy Intense Yellow (SI1), set in luxurious 18K. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,1333_6674_6673,,,,,,,17825,1,1333_6674_6673,,,,https://www.colourdiam.com/Product/Jewellery/1333_6674_6673/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_1.jpg,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_3.jpg,https://colourdiam.com/Product/Jewellery/1333_6674_6673/white45/6673_4.jpg,,,,,,,,,,On,,
,1.52 Ct Fancy Greenish Yellow SI2 GIA Ring | Colour Diam,"Brilliant Ring featuring a 1.52 carat Fancy Green (SI2), set in luxurious 18K. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,1477,,,,,,,11500,1,1477,,,,https://www.colourdiam.com/Product/Jewellery/1477/white45/center.jpg,,,,,,,,,,,,,On,,
,0.36 Ct Fancy Light Pink VS1 GIA Ring | Colour Diam,"Incomparable ring featuring a 0.36 carat Natural Diamond (VS1), set in luxurious 18K. a rare gem destined for the most exclusive collections — a true masterpiece for the most discerning connoisseur.",1,,,,1,1481,,,,,,,28749.999999999996,1,1481,,,,https://www.colourdiam.com/Product/Jewellery/1481/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/2.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/3.jpg,https://colourdiam.com/Product/Jewellery/1481/white45/CENTER.jpg,,,,,,,,,On,,
,0.92 Ct Fancy Yellow VS AGL Ring | Colour Diam,"Captivating Ring featuring a 0.92 carat Fancy Yellow, set in luxurious 18K. a rare gem destined for the most exclusive collections — a true masterpiece for the most discerning connoisseur.",1,,,,1,1779,,,,,,,2530,1,1779,,,,https://www.colourdiam.com/Product/Jewellery/1779/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1773_1.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1773_2.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_6.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_7.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/1779_8.jpg,https://colourdiam.com/Product/Jewellery/1779/white45/2.jpg,,,,,,On,,
,0.7 Ct Fancy Brownish Yellow SI1 GIA Ring | Colour Diam,"Splendid Ring featuring a 0.70 carat Fancy Brown (SI1), set in luxurious 18K. a testament to nature's finest artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,1850,,,,,,,1724.9999999999998,1,1850,,,,https://www.colourdiam.com/Product/Jewellery/1850/white45/center.jpg,,,,,,,,,,,,,On,,
,0.57 Ct Fancy Light Brownish Yellow SI2 GIA Ring | Colour Diam,"Opulent Ring featuring a 0.57 carat Natural Diamond (SI2), set in luxurious 18k. the pinnacle of luxurious craftsmanship — a true masterpiece for the most discerning connoisseur.",1,,,,1,1873,,,,,,,4024.9999999999995,1,1873,,,,https://www.colourdiam.com/Product/Jewellery/1873/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1873/1.jpg,https://colourdiam.com/Product/Jewellery/1873/2.jpg,https://colourdiam.com/Product/Jewellery/1873/3.jpg,https://colourdiam.com/Product/Jewellery/1873/4.jpg,https://colourdiam.com/Product/Jewellery/1873/5.jpg,https://colourdiam.com/Product/Jewellery/1873/CENTER.jpg,https://colourdiam.com/Product/Jewellery/1873/black360/1.jpg,,,,,,On,,
,0.7 Ct Fancy Light Yellow VS1 GIA Ring | Colour Diam,"Extraordinary Ring featuring a 0.70 carat Natural Diamond (VS1), set in luxurious 18K. the pinnacle of luxurious craftsmanship — a true masterpiece for the most discerning connoisseur.",1,,,,1,1913,,,,,,,2875,1,1913,,,,https://www.colourdiam.com/Product/Jewellery/1913/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1913/white45/1913_1.jpg,https://colourdiam.com/Product/Jewellery/1913/white45/1913_2.jpg,https://colourdiam.com/Product/Jewellery/1913/white45/1913_3.jpg,,,,,,,,,,On,,
,0.54 Ct W-X SI1 GIA Ring | Colour Diam,"Resplendent Ring featuring a  carat Natural Diamond (SI1), set in luxurious 18k. an heirloom-quality treasure for discerning collectors — a true masterpiece for the most discerning connoisseur.",1,,,,1,1996_6379,,,,,,,5750,1,1996_6379,,,,https://www.colourdiam.com/Product/Jewellery/1996_6379/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1996_6379/white45/colour-diam-1996-6379-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/1996_6379/white45/colour-diam-1996-6379-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/1996_6379/white45/colour-diam-1996-6379-pink-ring-10.jpg,,,,,,,,,,On,,
,0.99 Ct Fancy Light Yellow VVS1 AGL Ring | Colour Diam,"Peerless Ring featuring a 0.99 carat Natural Diamond (VVS1), set in luxurious 18k. where unparalleled beauty meets masterful craftsmanship — a true masterpiece for the most discerning connoisseur.",1,,,,1,2048,,,,,,,3679.9999999999995,1,2048,,,,https://www.colourdiam.com/Product/Jewellery/2048/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2048/black360/colour-diam-2048-yellow-ring-04.jpg,https://colourdiam.com/Product/Jewellery/2048/black360/colour-diam-2048-yellow-ring-05.jpg,https://colourdiam.com/Product/Jewellery/2048/black360/colour-diam-2048-yellow-ring-06.jpg,https://colourdiam.com/Product/Jewellery/2048/black360/colour-diam-2048-yellow-ring-07.jpg,https://colourdiam.com/Product/Jewellery/2048/black45/colour-diam-2048-yellow-ring-01.jpg,https://colourdiam.com/Product/Jewellery/2048/black45/colour-diam-2048-yellow-ring-03.jpg,,,,,,,On,,
,0.8 Ct Fancy Light Yellow SI2 GIA Ring | Colour Diam,"Radiant Ring featuring a  carat Natural Diamond (SI2), set in luxurious 18K. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,2150,,,,,,,4370,1,2150,,,,https://www.colourdiam.com/Product/Jewellery/2150/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2150/white45/colour-diam-2150-yellow-ring-08.jpg,,,,,,,,,,,,On,,
,0.64 Ct Fancy Pink GIA Ring | Colour Diam,"Resplendent Ring featuring a 0.64 carat Fancy Pink, set in luxurious 18K. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,2240,,,,,,,18975,1,2240,,,,https://www.colourdiam.com/Product/Jewellery/2240/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2240/white45/2240_1.jpg,https://colourdiam.com/Product/Jewellery/2240/white45/2240_2.jpg,https://colourdiam.com/Product/Jewellery/2240/white45/2240_3.jpg,,,,,,,,,,On,,
,0.64 Ct Fancy Light Yellow - Green VS2 GIA Ring | Colour Diam,"Incomparable Ring featuring a 0.64 carat Natural Diamond (VS2), set in luxurious 18K. an heirloom-quality treasure for discerning collectors — a true masterpiece for the most discerning connoisseur.",1,,,,1,2253,,,,,,,4427.5,1,2253,,,,https://www.colourdiam.com/Product/Jewellery/2253/white45/center.jpg,,,,,,,,,,,,,On,,
,0.7 Ct Light Green I1 GIA Ring | Colour Diam,"Radiant Ring featuring a 0.70 carat Natural Diamond (I1), set in luxurious 18K. a testament to nature's finest artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,2281,,,,,,,5175,1,2281,,,,https://www.colourdiam.com/Product/Jewellery/2281/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2281/white45/colour-diam-2281-green-ring-08.jpg,,,,,,,,,,,,On,,
,0.41 Ct Fancy Light Purplish Pink SI2 GIA Ring | Colour Diam,"Magnificent Ring featuring a 0.41 carat Natural Diamond (SI2), set in luxurious Precious Metal. where unparalleled beauty meets masterful craftsmanship — a true masterpiece for the most discerning connoisseur.",1,,,,1,2354,,,,,,,11500,1,2354,,,,https://www.colourdiam.com/Product/Jewellery/2354/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/1.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/2.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/3.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/colour-diam-2354-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/colour-diam-2354-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/2354/white45/colour-diam-2354-pink-ring-10.jpg,,,,,,,On,,
,0.83 Ct Fancy Light Pinkish Brown VS1 GIA Ring | Colour Diam,"Matchless Ring featuring a 0.83 carat Natural Diamond (VS1), set in luxurious Precious Metal. the embodiment of timeless sophistication — a true masterpiece for the most discerning connoisseur.",1,,,,1,2376,,,,,,,8625,1,2376,,,,https://www.colourdiam.com/Product/Jewellery/2376/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2376/white45/colour-diam-2376-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/2376/white45/colour-diam-2376-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/2376/white45/colour-diam-2376-pink-ring-10.jpg,,,,,,,,,,On,,
,0.353 Ct Fancy Light Pink VS AGL Ring | Colour Diam,"Magnificent Ring featuring a 0.353 carat Natural Diamond, set in luxurious 18k. an heirloom-quality treasure for discerning collectors — a true masterpiece for the most discerning connoisseur.",1,,,,1,2379,,,,,,,4024.9999999999995,1,2379,,,,https://www.colourdiam.com/Product/Jewellery/2379/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2379/white45/2379_1.jpg,https://colourdiam.com/Product/Jewellery/2379/white45/2379_2.jpg,https://colourdiam.com/Product/Jewellery/2379/white45/2379_3.jpg,,,,,,,,,,On,,
,0.59 Ct fancy light yellow vvs1 GIA Ring | Colour Diam,"Matchless ring featuring a 0.59 carat Natural Diamond (VVS1), set in luxurious 18K. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,2391_7808,,,,,,,4024.9999999999995,1,2391_7808,,,,https://www.colourdiam.com/Product/Jewellery/2391_7808/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black360/b2391_6.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black360/b2391_7.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black360/b2391_8.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black360/center.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black45/b2391_2.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black45/b2391_3.jpg,https://colourdiam.com/Product/Jewellery/2391_7808/black45/center.jpg,,,,,,On,,
,1.01 Ct Light Pink GIA Ring | Colour Diam,"Magnificent Ring featuring a 1.01 carat Natural Diamond, set in luxurious Precious Metal. a rare gem destined for the most exclusive collections — a true masterpiece for the most discerning connoisseur.",1,,,,1,2518,,,,,,,7474.999999999999,1,2518,,,,https://www.colourdiam.com/Product/Jewellery/2518/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/2518_1.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/2518_2.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/2518_3.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/colour-diam-2518-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/colour-diam-2518-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/2518/white45/colour-diam-2518-pink-ring-10.jpg,,,,,,,On,,
,2.04 Ct Very Light Pink SI1 CGL Ring | Colour Diam,"Exquisite Ring featuring a 2.04 carat Natural Diamond (SI1), set in luxurious Precious Metal. the pinnacle of luxurious craftsmanship — a true masterpiece for the most discerning connoisseur.",1,,,,1,2553,,,,,,,25299.999999999996,1,2553,,,,https://www.colourdiam.com/Product/Jewellery/2553/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2553/white360/1.jpg,https://colourdiam.com/Product/Jewellery/2553/white360/2.jpg,https://colourdiam.com/Product/Jewellery/2553/white360/3.jpg,https://colourdiam.com/Product/Jewellery/2553/white360/center.jpg,,,,,,,,,On,,
,1.46 Ct Fancy Orangy Pink GIA Ring | Colour Diam,"Peerless Ring featuring a 1.46 carat Natural Diamond, set in luxurious Precious Metal. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,2556,,,,,,,34500,1,2556,,,,https://www.colourdiam.com/Product/Jewellery/2556/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2556/white360/center.jpg,https://colourdiam.com/Product/Jewellery/2556/white360/colour-diam-2556-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/2556/white360/colour-diam-2556-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/2556/white360/colour-diam-2556-pink-ring-10.jpg,,,,,,,,,On,,
,0.52 Ct Fancy Light Gray Blue VVS1 GIA Ring | Colour Diam,"Lustrous Ring featuring a 0.52 carat Natural Diamond (VVS1), set in luxurious Precious Metal. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,2644,,,,,,,28749.999999999996,1,2644,,,,https://www.colourdiam.com/Product/Jewellery/2644/white45/center.jpg,https://colourdiam.com/Product/Jewellery/2644/white45/colour-diam-2644-blue-ring-08.jpg,https://colourdiam.com/Product/Jewellery/2644/white45/colour-diam-2644-blue-ring-09.jpg,,,,,,,,,,,On,,
,1.01 Ct Fancy Pinkish Brown I2 GIA Ring | Colour Diam,"Lustrous Ring featuring a 1.01 carat Fancy Pink (I2), set in luxurious Precious Metal. a rare gem destined for the most exclusive collections — a true masterpiece for the most discerning connoisseur.",1,,,,1,3061,,,,,,,8049.999999999999,1,3061,,,,https://www.colourdiam.com/Product/Jewellery/3061/white45/center.jpg,https://colourdiam.com/Product/Jewellery/3061/white45/1.jpg,https://colourdiam.com/Product/Jewellery/3061/white45/2.jpg,https://colourdiam.com/Product/Jewellery/3061/white45/3.jpg,,,,,,,,,,On,,
,0.3 Ct D IF GIA Ring | Colour Diam,"Superlative Ring featuring a 0.30 carat Natural Diamond (IF), set in luxurious Precious Metal. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,3170,,,,,,,1724.9999999999998,1,3170,,,,https://www.colourdiam.com/Product/Jewellery/3170/white45/center.jpg,https://colourdiam.com/Product/Jewellery/3170/white45/1.jpg,https://colourdiam.com/Product/Jewellery/3170/white45/2.jpg,,,,,,,,,,,On,,
,0.35 Ct fancy Vivid Purplish Pink GIA Ring | Colour Diam,"Enchanting Ring featuring a 0.35 carat Natural Diamond, set in luxurious 18K. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,3442,,,,,,,36800,1,3442,,,,https://www.colourdiam.com/Product/Jewellery/3442/white45/center.jpg,,,,,,,,,,,,,On,,
,0.37 Ct Fancy Orangy Pink SI1 GIA Earring | Colour Diam,"Enchanting Earring featuring a 0.37 carat Natural Diamond (SI1), set in luxurious 18k. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,3443_3444,,,,,,,17250,1,3443_3444,,,,https://www.colourdiam.com/Product/Jewellery/3443_3444/white45/center.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/3443-3444_6%20%28Nov%2013%2C%202025%205-16-09%20PM%29.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/3443-3444_6.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/3443-3444_7%20%28Nov%2013%2C%202025%205-16-09%20PM%29.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/3443-3444_7.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/center%20%28Nov%2013%2C%202025%205-16-09%20PM%29.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/colour-diam-3443-3444-earring-08.jpg,https://colourdiam.com/Product/Jewellery/3443_3444/white45/colour-diam-3443-3444-earring-09.jpg,,,,,,On,,
,0.54 Ct Light Pink SI1 GIA Ring | Colour Diam,"Radiant Ring featuring a 0.54 carat Natural Diamond (SI1), set in luxurious Precious Metal. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,6321_3607,,,,,,,12074.999999999998,1,6321_3607,,,,https://www.colourdiam.com/Product/Jewellery/6321_3607/white45/center.jpg,https://colourdiam.com/Product/Jewellery/6321_3607/white45/CENTER.jpg,,,,,,,,,,,,On,,
